Ticker,Price,One-Year Price Return,One-Year Return Percentile,Six-Month Price Return,Six-Month Return Percentile,Three-Month Price Return,Three-Month Return Percentile,One-Month Price Return,One-Month Return Percentile,HQM Score,ShareToBuy
KSS,39.94,-0.21428,0.12178,0.90090,0.98119,0.96424,0.99703,0.16587,0.96931,0.97921,500
NTAP,67.80,0.09255,0.52574,0.67272,0.93762,0.62256,0.96139,0.19019,0.97921,0.96436,294
ALGN,553.21,0.92582,0.98119,1.05431,0.99109,0.71958,0.98713,0.11584,0.93366,0.96139,36
ALB,153.92,1.11033,0.99109,1.08533,0.99307,0.82193,0.99307,0.09344,0.89604,0.94455,129
PAYC,466.47,0.74917,0.96139,0.48071,0.82673,0.69636,0.98317,0.15739,0.96535,0.93515,42
WYNN,119.92,-0.17980,0.15149,0.54128,0.88416,0.61044,0.95941,0.11799,0.93960,0.93069,166
HWM,27.55,-0.12810,0.22079,0.87814,0.97921,0.68577,0.97921,0.08641,0.87822,0.92871,725
NLSN,21.04,0.02564,0.42475,0.45463,0.79109,0.50140,0.92970,0.22735,0.99505,0.92772,950
PVH,96.08,-0.10569,0.24059,1.00574,0.98713,0.52364,0.93960,0.08839,0.88416,0.92376,208
DIS,179.20,0.20271,0.67624,0.55073,0.89010,0.43640,0.89010,0.14811,0.95743,0.92376,111
DFS,90.74,0.07063,0.49010,0.79539,0.96733,0.67971,0.97327,0.08289,0.86436,0.91733,220
NCLH,24.70,-0.60483,0.00099,0.57525,0.91188,0.68071,0.97525,0.09136,0.89010,0.91683,809
FCX,25.31,0.91588,0.97921,1.39941,0.99505,0.62620,0.96535,0.07420,0.84059,0.91040,790
IDXX,502.29,0.92803,0.98317,0.57473,0.90990,0.37424,0.83465,0.11486,0.93168,0.90198,39
MGM,31.41,-0.07615,0.27822,0.83918,0.97327,0.45151,0.90000,0.08179,0.86040,0.89851,636
TWTR,55.96,0.69081,0.95149,0.72788,0.95545,0.25232,0.64851,0.19504,0.98515,0.89356,357
HPQ,24.51,0.21981,0.69604,0.53200,0.87030,0.35515,0.81089,0.12958,0.94554,0.89307,815
HAL,19.28,-0.21533,0.11782,0.64284,0.92970,0.54291,0.94554,0.07913,0.84851,0.89307,1037
RL,103.40,-0.14003,0.19505,0.43018,0.76535,0.42863,0.88614,0.13736,0.95149,0.88861,193
LRCX,500.19,0.66977,0.94950,0.59097,0.91782,0.49837,0.92772,0.07996,0.85446,0.88861,39
MU,73.33,0.27831,0.77129,0.47917,0.82475,0.44219,0.89406,0.10370,0.90990,0.88465,272
WY,34.89,0.16146,0.62871,0.58451,0.91584,0.26843,0.67030,0.17179,0.97327,0.88317,573
CDNS,140.00,0.96541,0.98713,0.45876,0.79703,0.31865,0.75347,0.21128,0.99109,0.88317,142
QRVO,170.87,0.42615,0.88020,0.55214,0.89406,0.35189,0.80891,0.10591,0.91386,0.88267,117
ALXN,156.75,0.39981,0.85644,0.36468,0.69010,0.37356,0.83267,0.24769,0.99703,0.87921,127
AES,24.29,0.22765,0.70396,0.72167,0.95347,0.31053,0.73168,0.10161,0.90396,0.87327,823
APTV,132.37,0.37136,0.83069,0.75318,0.95743,0.52934,0.94158,0.05677,0.78911,0.86931,151
XLNX,144.27,0.48141,0.91386,0.54958,0.88812,0.45202,0.90198,0.06764,0.83069,0.86287,138
HCA,169.73,0.11529,0.55743,0.78356,0.96337,0.42215,0.88020,0.05975,0.79901,0.86040,117
PYPL,245.88,1.24017,0.99703,0.43322,0.76733,0.31056,0.73366,0.16380,0.96733,0.85891,81
MS,68.98,0.39792,0.85446,0.48205,0.83069,0.48673,0.91980,0.07259,0.83861,0.85693,289
SIVB,390.60,0.50215,0.91980,0.82948,0.97129,0.68655,0.98119,0.04018,0.73168,0.85396,51
COF,100.80,-0.04269,0.32772,0.50354,0.84851,0.43591,0.88812,0.06776,0.83465,0.85149,198
SYF,35.06,-0.03148,0.33960,0.57452,0.90792,0.38952,0.85644,0.06294,0.81089,0.84653,570
TTWO,209.20,0.66001,0.94752,0.44793,0.78515,0.24455,0.61881,0.20069,0.98713,0.84455,95
SCHW,52.08,0.09188,0.52178,0.57323,0.90594,0.54462,0.94752,0.04746,0.75941,0.84307,384
ADSK,301.56,0.65591,0.94554,0.29832,0.58119,0.36942,0.82673,0.17011,0.97129,0.83762,66
SNPS,257.50,0.85564,0.97129,0.36911,0.70000,0.27442,0.68218,0.19213,0.98317,0.83713,77
AAPL,137.76,0.87486,0.97525,0.49021,0.83663,0.22894,0.58317,0.15171,0.96139,0.83564,145
IPGP,227.25,0.54077,0.92574,0.42249,0.75743,0.35940,0.81683,0.08161,0.85842,0.82277,88
CMA,57.10,-0.17559,0.15743,0.54083,0.88020,0.56663,0.95545,0.03842,0.71782,0.81782,350
TPR,31.72,0.17758,0.65644,1.41950,0.99703,0.88803,0.99505,0.02455,0.63663,0.81634,630
STX,65.43,0.12004,0.56535,0.35996,0.68416,0.34986,0.80693,0.08881,0.88614,0.81584,305
KEYS,131.67,0.27301,0.76535,0.30745,0.59901,0.35765,0.81485,0.11026,0.92178,0.81436,151
BKR,21.33,-0.14355,0.18911,0.52230,0.85248,0.62313,0.96337,0.03868,0.71980,0.81386,937
ISRG,836.00,0.35159,0.81881,0.45645,0.79307,0.22967,0.58515,0.11792,0.93762,0.81337,23
ANET,296.81,0.42510,0.87624,0.38679,0.71782,0.46524,0.90990,0.06368,0.81287,0.81337,67
IVZ,17.75,0.05308,0.46634,0.69987,0.94554,0.66495,0.97129,0.02842,0.66634,0.81238,1126
DVA,118.65,0.54976,0.92970,0.49552,0.83861,0.41273,0.87030,0.05160,0.76931,0.81188,168
